order,schedule,seed,step,task,accuracy
antidevelopmental,competence,0,0,blimp_fast,49.93
antidevelopmental,competence,0,0,entity_tracking_fast,42.54
antidevelopmental,competence,0,0,ewok_fast,49.45
antidevelopmental,competence,0,0,supplement_fast,49.2
antidevelopmental,competence,0,250,blimp_fast,53.02
antidevelopmental,competence,0,250,entity_tracking_fast,42.71
antidevelopmental,competence,0,250,ewok_fast,49.73
antidevelopmental,competence,0,250,supplement_fast,45.2
antidevelopmental,competence,0,500,blimp_fast,50.34
antidevelopmental,competence,0,500,entity_tracking_fast,42.27
antidevelopmental,competence,0,500,ewok_fast,49.91
antidevelopmental,competence,0,500,supplement_fast,42.8
antidevelopmental,competence,0,750,blimp_fast,52.51
antidevelopmental,competence,0,750,entity_tracking_fast,36.14
antidevelopmental,competence,0,750,ewok_fast,50.73
antidevelopmental,competence,0,750,supplement_fast,49.6
antidevelopmental,competence,0,1000,blimp_fast,51.85
antidevelopmental,competence,0,1000,entity_tracking_fast,40.61
antidevelopmental,competence,0,1000,ewok_fast,50.82
antidevelopmental,competence,0,1000,supplement_fast,44.0
antidevelopmental,competence,0,1250,blimp_fast,52.76
antidevelopmental,competence,0,1250,entity_tracking_fast,35.57
antidevelopmental,competence,0,1250,ewok_fast,49.73
antidevelopmental,competence,0,1250,supplement_fast,43.2
antidevelopmental,competence,0,1500,blimp_fast,54.12
antidevelopmental,competence,0,1500,entity_tracking_fast,42.24
antidevelopmental,competence,0,1500,ewok_fast,50.64
antidevelopmental,competence,0,1500,supplement_fast,44.0
antidevelopmental,competence,0,1750,blimp_fast,52.33
antidevelopmental,competence,0,1750,entity_tracking_fast,34.42
antidevelopmental,competence,0,1750,ewok_fast,49.91
antidevelopmental,competence,0,1750,supplement_fast,46.0
antidevelopmental,competence,0,2000,blimp_fast,53.25
antidevelopmental,competence,0,2000,entity_tracking_fast,40.49
antidevelopmental,competence,0,2000,ewok_fast,53.0
antidevelopmental,competence,0,2000,supplement_fast,48.4
antidevelopmental,competence,0,2250,blimp_fast,52.53
antidevelopmental,competence,0,2250,entity_tracking_fast,39.36
