order,schedule,seed,step,task,accuracy
antidevelopmental,competence,2,750,blimp_fast,55.43
antidevelopmental,competence,2,750,entity_tracking_fast,42.6
antidevelopmental,competence,2,750,ewok_fast,48.73
antidevelopmental,competence,2,750,supplement_fast,49.2
antidevelopmental,competence,2,1000,blimp_fast,54.76
antidevelopmental,competence,2,1000,entity_tracking_fast,29.82
antidevelopmental,competence,2,1000,ewok_fast,50.0
antidevelopmental,competence,2,1000,supplement_fast,52.4
antidevelopmental,competence,2,1250,blimp_fast,55.0
antidevelopmental,competence,2,1250,entity_tracking_fast,39.76
antidevelopmental,competence,2,1250,ewok_fast,49.55
antidevelopmental,competence,2,1250,supplement_fast,43.6
antidevelopmental,competence,2,1500,blimp_fast,54.4
antidevelopmental,competence,2,1500,entity_tracking_fast,32.67
antidevelopmental,competence,2,1500,ewok_fast,49.36
antidevelopmental,competence,2,1500,supplement_fast,46.8
antidevelopmental,competence,2,1750,blimp_fast,53.05
antidevelopmental,competence,2,1750,entity_tracking_fast,13.7
antidevelopmental,competence,2,1750,ewok_fast,50.55
antidevelopmental,competence,2,1750,supplement_fast,46.8
antidevelopmental,competence,2,2000,blimp_fast,55.31
antidevelopmental,competence,2,2000,entity_tracking_fast,31.16
antidevelopmental,competence,2,2000,ewok_fast,52.0
antidevelopmental,competence,2,2000,supplement_fast,44.0
antidevelopmental,competence,2,2250,blimp_fast,53.53
antidevelopmental,competence,2,2250,entity_tracking_fast,38.07
antidevelopmental,competence,2,2250,ewok_fast,50.73
antidevelopmental,competence,2,2250,supplement_fast,46.0
antidevelopmental,competence,2,2500,blimp_fast,53.52
antidevelopmental,competence,2,2500,entity_tracking_fast,41.02
antidevelopmental,competence,2,2500,ewok_fast,51.27
antidevelopmental,competence,2,2500,supplement_fast,47.2
antidevelopmental,competence,2,2750,blimp_fast,52.85
antidevelopmental,competence,2,2750,entity_tracking_fast,35.55
antidevelopmental,competence,2,2750,ewok_fast,51.73
antidevelopmental,competence,2,2750,supplement_fast,47.6
antidevelopmental,competence,2,3000,blimp_fast,53.42
antidevelopmental,competence,2,3000,entity_tracking_fast,25.56
antidevelopmental,competence,2,3000,ewok_fast,50.55
antidevelopmental,competence,2,3000,supplement_fast,50.0
antidevelopmental,staged,0,0,blimp_fast,49.9
antidevelopmental,staged,0,0,entity_tracking_fast,42.51
antidevelopmental,staged,0,0,ewok_fast,49.36
antidevelopmental,staged,0,0,supplement_fast,49.2
antidevelopmental,staged,0,250,blimp_fast,56.16
antidevelopmental,staged,0,250,entity_tracking_fast,36.61
antidevelopmental,staged,0,250,ewok_fast,48.91
antidevelopmental,staged,0,250,supplement_fast,50.0
antidevelopmental,staged,0,500,blimp_fast,53.41
antidevelopmental,staged,0,500,entity_tracking_fast,42.57
antidevelopmental,staged,0,500,ewok_fast,52.27
antidevelopmental,staged,0,500,supplement_fast,46.8
antidevelopmental,staged,0,750,blimp_fast,52.43
antidevelopmental,staged,0,750,entity_tracking_fast,41.89
antidevelopmental,staged,0,750,ewok_fast,48.09
antidevelopmental,staged,0,750,supplement_fast,46.4
antidevelopmental,staged,0,1000,blimp_fast,52.84
antidevelopmental,staged,0,1000,entity_tracking_fast,29.3
antidevelopmental,staged,0,1000,ewok_fast,49.73
antidevelopmental,staged,0,1000,supplement_fast,42.4
antidevelopmental,staged,0,1250,blimp_fast,52.29
antidevelopmental,staged,0,1250,entity_tracking_fast,41.91
antidevelopmental,staged,0,1250,ewok_fast,50.36
antidevelopmental,staged,0,1250,supplement_fast,45.2
antidevelopmental,staged,0,1500,blimp_fast,53.38
antidevelopmental,staged,0,1500,entity_tracking_fast,18.5
antidevelopmental,staged,0,1500,ewok_fast,50.27
